name,value,year,lastValue,rank,year2
Vattenkraft,5877,94,4849,1,201010
Kärnkraft,2878,94,3377,2,201010
Övrig värmekraft,1011,94,560,3,201010
Vindkraft,460,94,323,4,201010
Gasturbin & dieselkraft,4,94,2,5,201010
Ospecificerad produktion,1,94,1,6,201010
Vattenkraft,6243,95,5877,1,201011
Kärnkraft,4664,95,2878,2,201011
Övrig värmekraft,1417,95,1011,3,201011
Vindkraft,470,95,460,4,201011
Gasturbin & dieselkraft,14,95,4,5,201011
Ospecificerad produktion,1,95,1,6,201011
Vattenkraft,6220,96,6243,1,201012
Kärnkraft,5770,96,4664,2,201012
Övrig värmekraft,1648,96,1417,3,201012
Vindkraft,386,96,470,4,201012
Gasturbin & dieselkraft,46,96,14,5,201012
Ospecificerad produktion,1,96,1,6,201012
Kärnkraft,6582,97,5770,1,201101
Vattenkraft,5573,97,6220,2,201101
Övrig värmekraft,1518,97,1648,3,201101
Vindkraft,469,97,386,4,201101
Gasturbin & dieselkraft,32,97,46,5,201101
Ospecificerad produktion,1,97,1,6,201101
Kärnkraft,5837,98,6582,1,201102
Vattenkraft,5561,98,5573,2,201102
Övrig värmekraft,1482,98,1518,3,201102
Vindkraft,502,98,469,4,201102
Gasturbin & dieselkraft,30,98,32,5,201102
Ospecificerad produktion,1,98,1,6,201102
Kärnkraft,6492,99,5837,1,201103
Vattenkraft,4214,99,5561,2,201103
Övrig värmekraft,1488,99,1482,3,201103
Vindkraft,649,99,502,4,201103
Gasturbin & dieselkraft,28,99,30,5,201103
Ospecificerad produktion,3,99,1,6,201103
Kärnkraft,4984,100,6492,1,201104
Vattenkraft,4639,100,4214,2,201104
Övrig värmekraft,939,100,1488,3,201104
Vindkraft,429,100,649,4,201104
Gasturbin & dieselkraft,5,100,28,5,201104
Ospecificerad produktion,1,100,3,6,201104
Kärnkraft,4872,101,4984,1,201105
Vattenkraft,4306,101,4639,2,201105
Övrig värmekraft,757,101,939,3,201105
Vindkraft,451,101,429,4,201105
Gasturbin & dieselkraft,5,101,5,5,201105
Ospecificerad produktion,1,101,1,6,201105
Vattenkraft,5321,102,4306,1,201106
Kärnkraft,3758,102,4872,2,201106
Vindkraft,341,102,451,3,201106
Övrig värmekraft,311,102,757,4,201106
Gasturbin & dieselkraft,7,102,5,5,201106
Ospecificerad produktion,1,102,1,6,201106
Kärnkraft,5065,103,3758,1,201107
Vattenkraft,4143,103,5321,2,201107
Vindkraft,287,103,341,3,201107
Övrig värmekraft,168,103,311,4,201107
Gasturbin & dieselkraft,4,103,7,5,201107
Ospecificerad produktion,1,103,1,6,201107
Vattenkraft,5701,104,4143,1,201108
Kärnkraft,4312,104,5065,2,201108
Vindkraft,343,104,287,3,201108
Övrig värmekraft,161,104,168,4,201108
Gasturbin & dieselkraft,6,104,4,5,201108
Ospecificerad produktion,1,104,1,6,201108
Vattenkraft,7322,105,5701,1,201109
Kärnkraft,3317,105,4312,2,201109
Vindkraft,559,105,343,3,201109
Övrig värmekraft,307,105,161,4,201109
Gasturbin & dieselkraft,8,105,6,5,201109
Ospecificerad produktion,1,105,1,6,201109
Vattenkraft,7164,106,7322,1,201110
Kärnkraft,3470,106,3317,2,201110
Vindkraft,681,106,559,3,201110
Övrig värmekraft,545,106,307,4,201110
Gasturbin & dieselkraft,9,106,8,5,201110
Ospecificerad produktion,1,106,1,6,201110
Vattenkraft,6453,107,7164,1,201111
Kärnkraft,3918,107,3470,2,201111
Övrig värmekraft,987,107,545,3,201111
Vindkraft,566,107,681,4,201111
Gasturbin & dieselkraft,7,107,9,5,201111
Ospecificerad produktion,1,107,1,6,201111
